Rk,Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,key
152,Asa Newell,PF,20,ATL,2,11,13.1,.500,.000,.000,0.0,0.0,0.0,13.6,4.5,8.2,0.0,8.1,,0.0,0.0,0.0,.067,,-1.5,4.9,3.4,0.0,asa newell
153,Zeke Nnaji,PF,25,DEN,2,19,25.1,1.078,.500,3.000,6.0,11.7,8.9,8.1,2.6,0.0,0.0,10.8,,0.1,0.0,0.1,.374,,7.0,5.4,12.4,0.1,zeke nnaji
154,Royce O'Neale,SF,32,PHO,4,97,16.1,.931,.929,.429,4.6,25.2,14.7,13.1,1.0,1.0,19.4,9.2,,0.3,-0.1,0.2,.119,,2.8,2.3,5.1,0.2,royce oneale
155,Josh Okogie,SG,27,HOU,6,104,11.6,.560,.520,.080,6.2,9.9,7.9,7.8,3.5,0.0,10.4,12.3,,0.1,0.1,0.2,.114,,-2.9,2.3,-0.6,0.0,josh okogie
156,Onyeka Okongwu,C,25,ATL,6,199,16.2,.704,.458,.250,4.3,20.2,11.7,11.4,1.7,2.3,11.6,13.5,,0.4,0.0,0.4,.108,,1.0,1.9,2.9,0.2,onyeka okongwu
157,Kelly Olynyk,C,34,SAS,9,35,23.6,.691,.533,.467,0.0,20.8,10.8,14.6,5.6,0.0,18.1,27.2,,0.0,0.1,0.1,.192,,3.7,5.3,9.0,0.1,kelly olynyk
158,Kelly Oubre Jr.,SF,30,PHI,11,364,11.3,.543,.368,.255,3.8,16.6,10.1,5.1,0.7,1.5,6.4,15.8,,0.2,0.0,0.2,.030,,-1.5,-0.1,-1.7,0.0,kelly oubre
159,Noah Penda,SF,21,ORL,1,3,4.5,,,,0.0,37.6,18.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.081,,-5.2,0.8,-4.4,0.0,noah penda
160,Julian Phillips,SF,22,MIN,5,25,8.1,.500,.667,.000,0.0,4.5,2.1,10.7,3.8,0.0,14.3,11.6,,0.0,0.0,0.0,.032,,-1.6,2.3,0.6,0.0,julian phillips
161,Jalen Pickett,SG,26,DEN,2,4,13.2,.568,,,0.0,0.0,0.0,33.0,0.0,0.0,0.0,9.7,,0.0,0.0,0.0,.141,,2.9,1.8,4.7,0.0,jalen pickett
162,Mason Plumlee,C,35,SAS,6,18,12.7,.667,.000,.000,0.0,23.1,12.0,15.8,0.0,14.9,25.0,9.6,,0.0,0.0,0.1,.142,,-4.0,7.2,3.2,0.0,mason plumlee
163,Jakob Poeltl,C,30,TOR,7,134,18.3,.659,.000,.452,10.1,26.1,18.0,11.0,2.2,4.8,13.9,13.8,,0.3,0.2,0.5,.174,,-0.6,3.1,2.5,0.2,jakob poeltl
164,Craig Porter Jr.,PG,25,CLE,7,21,-2.5,.333,.333,.000,0.0,16.9,8.4,26.5,0.0,0.0,57.1,14.7,,-0.1,0.0,-0.1,-0.217,,-8.8,-2.4,-11.2,0.0,craig porter
165,Payton Pritchard,PG,28,BOS,7,231,15.9,.534,.598,.087,4.2,8.2,6.1,24.9,0.7,0.0,5.0,19.2,,0.5,0.1,0.7,.143,,2.3,-0.3,2.0,0.2,payton pritchard
166,Tyrese Proctor,PG,21,CLE,4,13,-2.5,.347,1.000,1.000,0.0,9.1,4.5,20.1,0.0,0.0,41.0,16.5,,-0.1,0.0,-0.1,-0.191,,-9.4,-4.8,-14.3,0.0,tyrese proctor
